genre,n,mean,median,mode,min,max,range,variance,std
Drama,2532,6.765,6.9,6.7,2.0,9.3,7.3,0.91,0.954
Comedy,1847,6.192,6.3,6.7,1.7,9.5,7.8,1.191,1.091
Thriller,1364,6.308,6.4,6.4,2.2,9.0,6.8,1.116,1.056
Action,1113,6.232,6.3,6.1,1.7,9.1,7.4,1.253,1.119
Romance,1084,6.447,6.5,6.5,2.1,8.6,6.5,0.997,0.998
Adventure,888,6.439,6.6,6.7,1.9,8.9,7.0,1.294,1.137
Crime,869,6.563,6.6,6.3,2.4,9.3,6.9,1.059,1.029
Sci-Fi,593,6.277,6.4,6.7,1.9,8.8,6.9,1.482,1.217
Fantasy,582,6.301,6.4,6.7,1.7,8.9,7.2,1.362,1.167
Horror,539,5.802,5.9,6.2,2.2,8.7,6.5,1.255,1.12
Family,534,6.238,6.4,6.7,1.7,8.7,7.0,1.464,1.21
Mystery,484,6.482,6.6,6.6,2.2,8.6,6.4,1.174,1.084
Biography,291,7.149,7.2,7.0,4.5,8.9,4.4,0.525,0.725
Animation,240,6.575,6.7,6.7,1.7,8.6,6.9,1.309,1.144
Music,212,6.406,6.6,6.5,1.6,8.5,6.9,1.4,1.183
War,210,7.071,7.1,7.1,2.7,8.6,5.9,0.767,0.876
History,202,7.091,7.2,7.5,2.0,8.9,6.9,0.786,0.886
Sport,177,6.601,6.8,7.2,2.0,8.7,6.7,1.23,1.109
Musical,131,6.501,6.7,7.0,2.1,8.5,6.4,1.508,1.228
Documentary,121,7.18,7.4,7.5,1.6,8.7,7.1,1.116,1.057
Western,94,6.703,6.8,6.5,3.8,8.9,5.1,1.115,1.056
Film-Noir,6,7.633,7.65,7.1,7.1,8.2,1.1,0.187,0.432
Short,5,6.38,6.5,5.2,5.2,7.1,1.9,0.557,0.746
News,3,7.533,7.4,7.1,7.1,8.1,1.0,0.263,0.513
Reality-TV,2,4.75,4.75,2.9,2.9,6.6,3.7,6.845,2.616
Game-Show,1,2.9,2.9,2.9,2.9,2.9,0.0,,
